GEO_rural_urban,CONNECTION_social_media_time_per_day
NA,More than 3 hours per day
NA,1-2 hours per day
NA,NA
NA,More than 3 hours per day
NA,NA
"Large urban centre (100,000+ people)",More than 3 hours per day
NA,Presented but no response
"Medium city/town (30,000-99,999 people)",1-2 hours per day
NA,1-2 hours per day
"Medium city/town (30,000-99,999 people)",10-30 minutes per day
NA,1-2 hours per day
"Large urban centre (100,000+ people)",2-3 hours per day
NA,NA
NA,More than 3 hours per day
NA,NA
NA,NA
NA,1-2 hours per day
NA,10-30 minutes per day
NA,NA
NA,10-30 minutes per day
NA,NA
NA,NA
NA,NA
"Large urban centre (100,000+ people)",31-60 minutes per day
"Medium city/town (30,000-99,999 people)",More than 3 hours per day
NA,10-30 minutes per day
"Small city/town (1,000-29,999 people)",1-2 hours per day
NA,2-3 hours per day
NA,10-30 minutes per day
NA,31-60 minutes per day
NA,Less than 10 minutes per day
NA,1-2 hours per day
NA,NA
"Medium city/town (30,000-99,999 people)",1-2 hours per day
NA,31-60 minutes per day
NA,NA
NA,NA
NA,Less than 10 minutes per day
NA,1-2 hours per day
NA,31-60 minutes per day
NA,NA
"Medium city/town (30,000-99,999 people)",1-2 hours per day
"Medium city/town (30,000-99,999 people)",1-2 hours per day
"Large urban centre (100,000+ people)",31-60 minutes per day
NA,2-3 hours per day
NA,NA
NA,NA
NA,2-3 hours per day
"Small city/town (1,000-29,999 people)",2-3 hours per day
NA,More than 3 hours per day
NA,31-60 minutes per day
NA,NA
NA,NA
NA,NA
NA,10-30 minutes per day
NA,NA
NA,More than 3 hours per day
"Small city/town (1,000-29,999 people)",More than 3 hours per day
NA,2-3 hours per day
"Medium city/town (30,000-99,999 people)",31-60 minutes per day
NA,31-60 minutes per day
NA,NA
NA,10-30 minutes per day
NA,10-30 minutes per day
NA,1-2 hours per day
NA,10-30 minutes per day
NA,2-3 hours per day
"Large urban centre (100,000+ people)",1-2 hours per day
NA,More than 3 hours per day
NA,More than 3 hours per day
"Large urban centre (100,000+ people)",More than 3 hours per day
NA,31-60 minutes per day
NA,NA
NA,More than 3 hours per day
"Medium city/town (30,000-99,999 people)",31-60 minutes per day
NA,NA
NA,2-3 hours per day
NA,31-60 minutes per day
NA,Presented but no response
NA,31-60 minutes per day
NA,More than 3 hours per day
NA,NA
NA,NA
NA,2-3 hours per day
NA,10-30 minutes per day
NA,NA
NA,NA
NA,More than 3 hours per day
NA,NA
NA,10-30 minutes per day
"Large urban centre (100,000+ people)",1-2 hours per day
NA,10-30 minutes per day
NA,10-30 minutes per day
NA,Less than 10 minutes per day
NA,1-2 hours per day
NA,NA
NA,NA
NA,NA
NA,10-30 minutes per day
NA,NA
NA,NA
NA,1-2 hours per day
NA,NA
"Large urban centre (100,000+ people)",1-2 hours per day
NA,10-30 minutes per day
NA,More than 3 hours per day
NA,NA
NA,1-2 hours per day
NA,More than 3 hours per day
"Medium city/town (30,000-99,999 people)",10-30 minutes per day
NA,10-30 minutes per day
NA,NA
NA,NA
NA,NA
NA,1-2 hours per day
"Large urban centre (100,000+ people)",1-2 hours per day
"Medium city/town (30,000-99,999 people)",10-30 minutes per day
NA,NA
NA,NA
NA,NA
NA,2-3 hours per day
NA,10-30 minutes per day
NA,1-2 hours per day
NA,1-2 hours per day
NA,NA
NA,31-60 minutes per day
NA,2-3 hours per day
NA,More than 3 hours per day
"Medium city/town (30,000-99,999 people)",31-60 minutes per day
NA,10-30 minutes per day
NA,10-30 minutes per day
NA,NA
NA,More than 3 hours per day
NA,NA
Rural area (Less than 1000 people),More than 3 hours per day
NA,10-30 minutes per day
NA,10-30 minutes per day
NA,NA
NA,10-30 minutes per day
NA,Less than 10 minutes per day
"Medium city/town (30,000-99,999 people)",More than 3 hours per day
NA,31-60 minutes per day
NA,31-60 minutes per day
NA,2-3 hours per day
NA,NA
Rural area (Less than 1000 people),2-3 hours per day
NA,31-60 minutes per day
NA,2-3 hours per day
"Medium city/town (30,000-99,999 people)",1-2 hours per day
NA,NA
NA,NA
Rural area (Less than 1000 people),10-30 minutes per day
"Medium city/town (30,000-99,999 people)",31-60 minutes per day
NA,10-30 minutes per day
NA,31-60 minutes per day
NA,1-2 hours per day
"Large urban centre (100,000+ people)",More than 3 hours per day
NA,1-2 hours per day
NA,NA
NA,10-30 minutes per day
NA,NA
NA,NA
"Small city/town (1,000-29,999 people)",31-60 minutes per day
NA,31-60 minutes per day
"Medium city/town (30,000-99,999 people)",More than 3 hours per day
NA,NA
NA,More than 3 hours per day
NA,31-60 minutes per day
"Large urban centre (100,000+ people)",31-60 minutes per day
"Large urban centre (100,000+ people)",More than 3 hours per day
"Large urban centre (100,000+ people)",1-2 hours per day
NA,More than 3 hours per day
NA,NA
NA,NA
NA,More than 3 hours per day
NA,NA
NA,1-2 hours per day
NA,10-30 minutes per day
"Large urban centre (100,000+ people)",More than 3 hours per day
NA,10-30 minutes per day
NA,10-30 minutes per day
NA,NA
NA,NA
NA,NA
NA,More than 3 hours per day
NA,NA
"Large urban centre (100,000+ people)",1-2 hours per day
NA,31-60 minutes per day
NA,1-2 hours per day
NA,31-60 minutes per day
NA,NA
NA,More than 3 hours per day
"Medium city/town (30,000-99,999 people)",More than 3 hours per day
NA,More than 3 hours per day
NA,2-3 hours per day
"Large urban centre (100,000+ people)",1-2 hours per day
NA,NA
NA,31-60 minutes per day
NA,More than 3 hours per day
NA,1-2 hours per day
NA,NA
NA,NA
NA,1-2 hours per day
NA,NA
NA,More than 3 hours per day
NA,More than 3 hours per day
NA,NA
NA,Less than 10 minutes per day
NA,NA
NA,31-60 minutes per day
NA,More than 3 hours per day
NA,NA
NA,NA
"Large urban centre (100,000+ people)",1-2 hours per day
NA,NA
NA,NA
NA,NA
NA,2-3 hours per day
NA,NA
NA,31-60 minutes per day
NA,NA
"Large urban centre (100,000+ people)",10-30 minutes per day
NA,31-60 minutes per day
NA,31-60 minutes per day
NA,NA
NA,31-60 minutes per day
NA,NA
NA,10-30 minutes per day
NA,NA
NA,31-60 minutes per day
NA,2-3 hours per day
NA,2-3 hours per day
"Small city/town (1,000-29,999 people)",1-2 hours per day
NA,Less than 10 minutes per day
NA,NA
"Medium city/town (30,000-99,999 people)",31-60 minutes per day
NA,10-30 minutes per day
NA,NA
"Small city/town (1,000-29,999 people)",10-30 minutes per day
NA,NA
NA,More than 3 hours per day
"Small city/town (1,000-29,999 people)",Less than 10 minutes per day
NA,2-3 hours per day
NA,Less than 10 minutes per day
NA,NA
NA,2-3 hours per day
NA,NA
NA,10-30 minutes per day
NA,More than 3 hours per day
NA,More than 3 hours per day
NA,More than 3 hours per day
NA,2-3 hours per day
NA,NA
NA,2-3 hours per day
"Small city/town (1,000-29,999 people)",More than 3 hours per day
NA,NA
"Large urban centre (100,000+ people)",1-2 hours per day
"Medium city/town (30,000-99,999 people)",2-3 hours per day
NA,31-60 minutes per day
"Small city/town (1,000-29,999 people)",2-3 hours per day
NA,2-3 hours per day
"Large urban centre (100,000+ people)",Less than 10 minutes per day
NA,NA
"Large urban centre (100,000+ people)",1-2 hours per day
NA,NA
NA,NA
NA,31-60 minutes per day
NA,More than 3 hours per day
"Large urban centre (100,000+ people)",More than 3 hours per day
NA,NA
NA,NA
"Large urban centre (100,000+ people)",2-3 hours per day
NA,Less than 10 minutes per day
NA,NA
Rural area (Less than 1000 people),More than 3 hours per day
NA,NA
NA,2-3 hours per day
NA,1-2 hours per day
NA,31-60 minutes per day
"Medium city/town (30,000-99,999 people)",2-3 hours per day
NA,More than 3 hours per day
NA,NA
"Medium city/town (30,000-99,999 people)",31-60 minutes per day
NA,NA
NA,NA
NA,2-3 hours per day
NA,2-3 hours per day
NA,NA
"Small city/town (1,000-29,999 people)",More than 3 hours per day
NA,10-30 minutes per day
NA,Less than 10 minutes per day
NA,NA
NA,31-60 minutes per day
NA,31-60 minutes per day
NA,NA
"Large urban centre (100,000+ people)",1-2 hours per day
NA,NA
NA,31-60 minutes per day
NA,NA
NA,1-2 hours per day
NA,10-30 minutes per day
NA,More than 3 hours per day
NA,1-2 hours per day
"Large urban centre (100,000+ people)",2-3 hours per day
NA,1-2 hours per day
NA,1-2 hours per day
NA,NA
NA,2-3 hours per day
NA,10-30 minutes per day
NA,31-60 minutes per day
NA,2-3 hours per day
NA,2-3 hours per day
NA,1-2 hours per day
"Small city/town (1,000-29,999 people)",More than 3 hours per day
NA,31-60 minutes per day
NA,More than 3 hours per day
NA,NA
"Large urban centre (100,000+ people)",2-3 hours per day
"Medium city/town (30,000-99,999 people)",Less than 10 minutes per day
NA,NA
NA,10-30 minutes per day
NA,More than 3 hours per day
Rural area (Less than 1000 people),1-2 hours per day
"Large urban centre (100,000+ people)",2-3 hours per day
NA,Less than 10 minutes per day
NA,10-30 minutes per day
"Large urban centre (100,000+ people)",1-2 hours per day
NA,NA
"Medium city/town (30,000-99,999 people)",More than 3 hours per day
"Large urban centre (100,000+ people)",More than 3 hours per day
NA,NA
NA,2-3 hours per day
"Large urban centre (100,000+ people)",More than 3 hours per day
NA,NA
NA,10-30 minutes per day
NA,NA
NA,NA
NA,Less than 10 minutes per day
NA,More than 3 hours per day
NA,NA
NA,More than 3 hours per day
NA,10-30 minutes per day
"Small city/town (1,000-29,999 people)",31-60 minutes per day
NA,31-60 minutes per day
NA,31-60 minutes per day
NA,NA
"Large urban centre (100,000+ people)",More than 3 hours per day
NA,More than 3 hours per day
NA,1-2 hours per day
NA,31-60 minutes per day
NA,NA
NA,NA
NA,More than 3 hours per day
"Large urban centre (100,000+ people)",More than 3 hours per day
NA,NA
NA,NA
NA,31-60 minutes per day
NA,31-60 minutes per day
NA,NA
NA,2-3 hours per day
NA,NA
NA,NA
"Small city/town (1,000-29,999 people)",31-60 minutes per day
NA,1-2 hours per day
NA,More than 3 hours per day
NA,1-2 hours per day
NA,NA
NA,10-30 minutes per day
NA,NA
NA,2-3 hours per day
"Small city/town (1,000-29,999 people)",More than 3 hours per day
NA,More than 3 hours per day
NA,NA
NA,31-60 minutes per day
NA,NA
NA,NA
NA,NA
NA,NA
Rural area (Less than 1000 people),More than 3 hours per day
NA,NA
"Medium city/town (30,000-99,999 people)",1-2 hours per day
Rural area (Less than 1000 people),More than 3 hours per day
NA,10-30 minutes per day
NA,More than 3 hours per day
NA,NA
NA,More than 3 hours per day
"Medium city/town (30,000-99,999 people)",1-2 hours per day
"Small city/town (1,000-29,999 people)",Less than 10 minutes per day
NA,10-30 minutes per day
NA,31-60 minutes per day
NA,2-3 hours per day
"Large urban centre (100,000+ people)",Less than 10 minutes per day
NA,1-2 hours per day
NA,1-2 hours per day
NA,NA
NA,NA
NA,NA
"Small city/town (1,000-29,999 people)",2-3 hours per day
NA,NA
NA,NA
NA,2-3 hours per day
"Large urban centre (100,000+ people)",1-2 hours per day
NA,1-2 hours per day
"Small city/town (1,000-29,999 people)",31-60 minutes per day
NA,1-2 hours per day
"Large urban centre (100,000+ people)",More than 3 hours per day
"Medium city/town (30,000-99,999 people)",More than 3 hours per day
NA,1-2 hours per day
"Large urban centre (100,000+ people)",2-3 hours per day
NA,More than 3 hours per day
NA,NA
Rural area (Less than 1000 people),More than 3 hours per day
NA,More than 3 hours per day
NA,1-2 hours per day
NA,More than 3 hours per day
NA,2-3 hours per day
NA,31-60 minutes per day
"Large urban centre (100,000+ people)",1-2 hours per day
NA,31-60 minutes per day
NA,1-2 hours per day
NA,1-2 hours per day
NA,31-60 minutes per day
"Large urban centre (100,000+ people)",1-2 hours per day
NA,More than 3 hours per day
"Large urban centre (100,000+ people)",31-60 minutes per day
"Large urban centre (100,000+ people)",1-2 hours per day
NA,10-30 minutes per day
NA,More than 3 hours per day
NA,NA
NA,10-30 minutes per day
NA,NA
NA,1-2 hours per day
NA,31-60 minutes per day
NA,1-2 hours per day
NA,31-60 minutes per day
NA,31-60 minutes per day
"Large urban centre (100,000+ people)",10-30 minutes per day
NA,1-2 hours per day
NA,NA
NA,NA
"Large urban centre (100,000+ people)",More than 3 hours per day
"Medium city/town (30,000-99,999 people)",2-3 hours per day
NA,10-30 minutes per day
NA,More than 3 hours per day
Rural area (Less than 1000 people),More than 3 hours per day
"Medium city/town (30,000-99,999 people)",31-60 minutes per day
"Large urban centre (100,000+ people)",2-3 hours per day
NA,2-3 hours per day
NA,2-3 hours per day
"Large urban centre (100,000+ people)",2-3 hours per day
NA,More than 3 hours per day
NA,NA
"Large urban centre (100,000+ people)",1-2 hours per day
NA,2-3 hours per day
NA,NA
"Medium city/town (30,000-99,999 people)",1-2 hours per day
NA,31-60 minutes per day
NA,10-30 minutes per day
NA,NA
NA,More than 3 hours per day
NA,31-60 minutes per day
NA,NA
NA,More than 3 hours per day
NA,NA
NA,31-60 minutes per day
"Large urban centre (100,000+ people)",1-2 hours per day
NA,31-60 minutes per day
NA,10-30 minutes per day
NA,NA
NA,2-3 hours per day
NA,31-60 minutes per day
NA,1-2 hours per day
NA,More than 3 hours per day
NA,10-30 minutes per day
"Large urban centre (100,000+ people)",More than 3 hours per day
NA,10-30 minutes per day
NA,NA
NA,More than 3 hours per day
NA,1-2 hours per day
NA,31-60 minutes per day
NA,31-60 minutes per day
Rural area (Less than 1000 people),1-2 hours per day
NA,NA
NA,31-60 minutes per day
NA,10-30 minutes per day
NA,More than 3 hours per day
"Large urban centre (100,000+ people)",31-60 minutes per day
NA,NA
NA,1-2 hours per day
"Small city/town (1,000-29,999 people)",10-30 minutes per day
NA,2-3 hours per day
NA,2-3 hours per day
NA,1-2 hours per day
NA,10-30 minutes per day
NA,NA
NA,31-60 minutes per day
NA,31-60 minutes per day
NA,1-2 hours per day
"Large urban centre (100,000+ people)",2-3 hours per day
NA,31-60 minutes per day
NA,31-60 minutes per day
NA,NA
NA,1-2 hours per day
NA,NA
NA,More than 3 hours per day
NA,NA
"Medium city/town (30,000-99,999 people)",2-3 hours per day
NA,NA
"Small city/town (1,000-29,999 people)",Less than 10 minutes per day
NA,NA
Rural area (Less than 1000 people),More than 3 hours per day
"Medium city/town (30,000-99,999 people)",31-60 minutes per day
NA,31-60 minutes per day
"Medium city/town (30,000-99,999 people)",1-2 hours per day
NA,2-3 hours per day
NA,31-60 minutes per day
NA,NA
NA,1-2 hours per day
NA,31-60 minutes per day
NA,31-60 minutes per day
"Large urban centre (100,000+ people)",More than 3 hours per day
NA,NA
NA,More than 3 hours per day
NA,NA
NA,31-60 minutes per day
NA,10-30 minutes per day
NA,Less than 10 minutes per day
"Medium city/town (30,000-99,999 people)",31-60 minutes per day
NA,NA
NA,31-60 minutes per day
NA,2-3 hours per day
NA,NA
"Small city/town (1,000-29,999 people)",More than 3 hours per day
NA,31-60 minutes per day
NA,31-60 minutes per day
NA,1-2 hours per day
NA,10-30 minutes per day
NA,31-60 minutes per day
"Medium city/town (30,000-99,999 people)",More than 3 hours per day
NA,2-3 hours per day
NA,NA
NA,NA
"Large urban centre (100,000+ people)",More than 3 hours per day
NA,31-60 minutes per day
NA,NA
NA,10-30 minutes per day
NA,NA
NA,NA
NA,2-3 hours per day
NA,31-60 minutes per day
NA,31-60 minutes per day
NA,NA
"Small city/town (1,000-29,999 people)",10-30 minutes per day
NA,Less than 10 minutes per day
NA,2-3 hours per day
NA,NA
NA,NA
NA,31-60 minutes per day
NA,10-30 minutes per day
NA,2-3 hours per day
NA,NA
NA,1-2 hours per day
NA,NA
NA,NA
"Large urban centre (100,000+ people)",31-60 minutes per day
NA,NA
Rural area (Less than 1000 people),More than 3 hours per day
"Large urban centre (100,000+ people)",2-3 hours per day
NA,More than 3 hours per day
"Large urban centre (100,000+ people)",2-3 hours per day
NA,10-30 minutes per day
"Small city/town (1,000-29,999 people)",2-3 hours per day
NA,NA
NA,More than 3 hours per day
"Medium city/town (30,000-99,999 people)",10-30 minutes per day
NA,1-2 hours per day
NA,More than 3 hours per day
NA,NA
"Small city/town (1,000-29,999 people)",More than 3 hours per day
